Studio Gonz,Gouda,19-12-25,met Mark Foggo
Melkweg,Amsterdam,16-01-26,met de Hardheid
Vriendschap,'t Veld,14-03-26,met Mark Foggo
Slachthuis,Haarlem,27-04-26,Koningsdag
